id,name,region,gender,pathway_summary,qschool_signup_url,official_site_url
fjt-florida,Florida Junior Tour (FJT),Florida,mixed,Florida State Golf Association's junior tour; two-day FJT Opens plus Boys' and Girls' Junior Championships across Florida; strong Junior Golf Scoreboard exposure,https://www.fsga.org/membership,https://www.fsga.org
scpga-jr,SCPGA Junior Tour (Toyota Tour Cup),Southern California,mixed,Southern California PGA's elite Toyota Tour Cup series; invitation via Qualifying School or Players Tour points; all events ranked by Junior Golf Scoreboard and earn AJGA PBE stars. Weekly Players Tour one-day events also run year-round,https://register.bluegolf.com/secure/scpgajt26/member/start,https://scpgajrtour.com
gsga-jr,GSGA Junior Tour (Georgia),Georgia,mixed,Georgia State Golf Association's junior tour; 18-hole one-day events plus Points Per Series challenges and championship regional qualifiers across Georgia,https://www.gsga.org/junior-tour,https://www.gsga.org
tyga-carolinas,CGA Junior / TYGA (Carolinas),North and South Carolina,mixed,Carolinas Golf Association junior championships for NC and SC juniors; state junior championships and match plays plus invitationals; TYGA one-day and multi-day events feed these championships,https://www.tygajuniorgolf.org/play,https://www.carolinasgolf.org
jgaa-arizona,JGAA (Arizona),Arizona,mixed,Junior Golf Association of Arizona; year-round championships and invitationals including the PING Junior Masters Series and Arizona Junior Amateur; strong D1 recruiting pipeline,https://www.bluegolf.com/junior/events/jgaa261/index.html,https://www.jgaa.org
sneds-tn,Sneds Tour (Tennessee),Tennessee,mixed,Tennessee Golf Foundation's junior tour named for Brandt Snedeker; Opens plus Elite and Masters two-day events across Tennessee with a strong college-coach following,https://register.bluegolf.com/secure/tnjgt26/member/start,https://www.snedstour.org
ntpga-jr,NTPGA Junior Tour (North Texas),North Texas,mixed,Northern Texas PGA's junior program; the All-American Tour and majors shown here are the elite tier that college coaches follow. Medalist and Prep tiers also run year-round,https://www.bluegolf.com/junior/events/ntpgajr261/index.html,https://www.ntpgajuniorgolf.com
jtnc-norcal,JTNC (Northern California),Northern California,mixed,Junior Tour of Northern California; Spring plus Summer plus Fall and Holiday series with a season-ending Tour Championship at Poppy Hills; run by the NCGA,https://www.bluegolf.com/junior/events/jtnc261/index.html,https://jtnc.org
vsga-jr,VSGA Junior (Virginia),Virginia,mixed,Virginia State Golf Association junior championships plus 18-hole Junior Golf Circuit stroke-play events; includes the VSGA Junior Stroke Play and Match Play Championships,https://vsga.org/tournaments/schedule?category=Juniors,https://vsga.org
ijga-il,IJGA (Illinois),Illinois,mixed,"Illinois Junior Golf Association; ISJA and CEJA qualifiers plus 18-hole tour stops, invitationals and the Players Challenge across Chicagoland and downstate Illinois",https://www.bluegolf.com/junior/events/ijga261/index.html,https://www.ijga.org
copga-jr,Colorado PGA Junior,Colorado,mixed,"Colorado PGA Junior Tour (successor to the JGAC); Cup series events, Mizuno majors, qualifiers and the West Swing across Colorado with Q-School entry events",https://www.bluegolf.com/junior/events/copgajr261/index.html,https://www.coloradopgagolf.com
sopga-jr,Southern Ohio PGA Junior,Southern Ohio,mixed,"Southern Ohio PGA Junior Tour; one-day stroke play events plus a Tour Championship across Cincinnati, Dayton and Columbus",https://www.bluegolf.com/junior/events/sopgajr261/index.html,https://www.southernohiopga.com
gam-mi,GAM Junior (Michigan),Michigan,mixed,"Golf Association of Michigan junior championships; Michigan Junior Amateur, GAM Boys and Girls Championships plus USGA Junior Amateur qualifiers",https://www.gam.org/web/pages/junior-kids-golf,https://www.gam.org
njpga-jr,NJPGA Junior (New Jersey),New Jersey,mixed,"New Jersey PGA Junior Tour; majors, opens and one-day Junior Events at courses across New Jersey with a season points race",https://www.bluegolf.com/junior/events/njpgajr261/index.html,https://www.njpga.com
philly-pga-jr,Philadelphia PGA Junior,Philadelphia region,mixed,"Philadelphia PGA Section Junior Tour; one-day events plus the Junior Tour Championship and Harry Hammond Invitational across greater Philadelphia, South Jersey and Delaware",https://www.golfgenius.com/pages/5094013302724397399,https://www.philadelphia.pga.com
mapga-jr,MAPGA Junior Tour (Maryland/DC),Maryland / DC / Northern Virginia,mixed,"Middle Atlantic PGA junior tour; Championship and Patriot division events across Maryland, DC and Northern Virginia including AJGA and JGS ranked invitationals plus Optimist, Jr PGA and Capital Cup qualifiers",https://www.golfgenius.com/pages/8908649643613654213,https://mapga.com/mapga-junior-golf-tour/
